id,Datum,Warengruppe,Umsatz
1307011,2013-07-01,1,148.828353112183
1307021,2013-07-02,1,159.79375714468
1307031,2013-07-03,1,111.885593514353
1307041,2013-07-04,1,168.864940979931
1307051,2013-07-05,1,171.280754117955
1307061,2013-07-06,1,174.552359998476
1307071,2013-07-07,1,92.6377553788373
1307081,2013-07-08,1,135.500244042392
1307091,2013-07-09,1,136.048382778344
1307101,2013-07-10,1,135.132314289581
1307111,2013-07-11,1,138.549392636714
1307121,2013-07-12,1,101.447511461298
1307131,2013-07-13,1,141.233309883732
1307141,2013-07-14,1,112.524365708762
1307151,2013-07-15,1,161.264677322182
1307161,2013-07-16,1,116.821358174215
1307171,2013-07-17,1,150.572919592838
1307181,2013-07-18,1,101.90072129658
1307191,2013-07-19,1,161.63511518654
1307201,2013-07-20,1,134.328076682024
1307211,2013-07-21,1,66.2887578161955
1307221,2013-07-22,1,131.223948997842
1307231,2013-07-23,1,110.315246796665
1307241,2013-07-24,1,141.891908195545
1307251,2013-07-25,1,167.701216640907
1307261,2013-07-26,1,147.272084366206
1307271,2013-07-27,1,161.403357795112
1307281,2013-07-28,1,86.0791432446654
1307291,2013-07-29,1,183.564164400591
1307301,2013-07-30,1,132.111640117897
1307311,2013-07-31,1,144.745431773143
1308011,2013-08-01,1,157.854023011106
1308021,2013-08-02,1,117.359342094889
1308031,2013-08-03,1,186.027178770079
1308041,2013-08-04,1,104.708216687715
1308051,2013-08-05,1,146.775309890073
1308061,2013-08-06,1,131.956277381283
1308071,2013-08-07,1,160.593417296116
1308081,2013-08-08,1,153.099424561652
1308091,2013-08-09,1,125.620344387906
1308101,2013-08-10,1,185.177162656408
1308111,2013-08-11,1,73.2088330039992
1308121,2013-08-12,1,154.504729536697
1308131,2013-08-13,1,134.064451548102
1308141,2013-08-14,1,156.972510536869
1308151,2013-08-15,1,164.763795399756
1308161,2013-08-16,1,147.79799759804
1308171,2013-08-17,1,221.630418006017
1308181,2013-08-18,1,92.489778506026
1308191,2013-08-19,1,145.87913275728
1308201,2013-08-20,1,111.842396126739
1308211,2013-08-21,1,125.336522713024
1308221,2013-08-22,1,132.916428220302
1308231,2013-08-23,1,162.958958703106
1308241,2013-08-24,1,201.543109556297
1308251,2013-08-25,1,83.0226725739551
1308261,2013-08-26,1,165.829031676714
1308271,2013-08-27,1,118.473650434102
1308281,2013-08-28,1,108.876991442649
1308291,2013-08-29,1,178.178023803315
1308301,2013-08-30,1,133.150828452892
1308311,2013-08-31,1,130.821314898435
1309011,2013-09-01,1,95.9704314892471
1309021,2013-09-02,1,138.408723210465
1309031,2013-09-03,1,138.825618927843
1309041,2013-09-04,1,100.221969526295
1309051,2013-09-05,1,173.658100347255
1309061,2013-09-06,1,171.415179710314
1309071,2013-09-07,1,186.034060963767
1309081,2013-09-08,1,88.8925958109828
1309091,2013-09-09,1,169.359968504942
1309101,2013-09-10,1,89.6944536084346
1309111,2013-09-11,1,103.363686559795
1309121,2013-09-12,1,106.474399987548
1309131,2013-09-13,1,122.564626199915
1309141,2013-09-14,1,174.938807466572
1309151,2013-09-15,1,55.1960062296304
1309161,2013-09-16,1,146.760234890658
1309171,2013-09-17,1,136.118044538363
1309181,2013-09-18,1,152.255085210606
1309191,2013-09-19,1,148.674992078993
1309201,2013-09-20,1,110.159250328825
1309211,2013-09-21,1,178.263887943827
1309221,2013-09-22,1,86.6668973821597
1309231,2013-09-23,1,111.128410563554
1309241,2013-09-24,1,139.64144576808
1309251,2013-09-25,1,117.94119333604
1309261,2013-09-26,1,203.314345156607
1309271,2013-09-27,1,135.507291692088
1309281,2013-09-28,1,134.613756840197
1309291,2013-09-29,1,68.6316896995448
1309301,2013-09-30,1,156.502435955326
1310011,2013-10-01,1,123.397540137977
1310021,2013-10-02,1,196.720969158391
1310031,2013-10-03,1,75.2337302417469
1310041,2013-10-04,1,156.066122625816
1310051,2013-10-05,1,152.280762053885
1310061,2013-10-06,1,92.4805772695364
1310071,2013-10-07,1,124.841544023845
1310081,2013-10-08,1,96.867100978839
1310091,2013-10-09,1,149.761758936995
1310101,2013-10-10,1,119.300284972145
1310111,2013-10-11,1,123.2348187168
1310121,2013-10-12,1,140.262421715801
1310131,2013-10-13,1,42.9967926268111
1310141,2013-10-14,1,109.863744271226
1310151,2013-10-15,1,130.431802598324
1310161,2013-10-16,1,146.070583461057
1310171,2013-10-17,1,89.9411837855476
1310181,2013-10-18,1,111.233698203856
1310191,2013-10-19,1,121.590860465012
1310201,2013-10-20,1,70.1419855298474
1310211,2013-10-21,1,122.987868193302
1310221,2013-10-22,1,111.927088663048
1310231,2013-10-23,1,125.816016210178
1310241,2013-10-24,1,123.163406361057
1310251,2013-10-25,1,113.661858634409
1310261,2013-10-26,1,161.678805315967
1310271,2013-10-27,1,102.355195816072
1310281,2013-10-28,1,129.482192717092
1310291,2013-10-29,1,112.285893935052
1310301,2013-10-30,1,121.506077008915
1310311,2013-10-31,1,133.723541287582
1311011,2013-11-01,1,100.182160485504
1311021,2013-11-02,1,149.172348030766
1311031,2013-11-03,1,97.4532740046654
1311041,2013-11-04,1,137.864260444157
1311051,2013-11-05,1,103.700267261952
1311061,2013-11-06,1,109.097001107423
1311071,2013-11-07,1,118.470603286455
1311081,2013-11-08,1,132.796244239256
1311091,2013-11-09,1,99.9317959514759
1311101,2013-11-10,1,108.561660295105
1311111,2013-11-11,1,124.580485617569
1311121,2013-11-12,1,111.970870543294
1311131,2013-11-13,1,78.0382483442215
